line_id,description,start_time,end_time,logs_count,duration_minutes
Other,Linie 1: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-19 15:30:19,2026-03-22 01:30:15,20,3479.9333333333334
Other,"Linie 1: Umleitung in Richtung Stefan-Fadinger-Platz Wende über Börse und Umleitung bis Resselgasse über Schwedenplatz U und Schwarzenbergplatz. Einstieg am Karlsplatz U (bei Linie 4A) möglich. Umleitung in Richtung Prater Hauptallee zwischen Karlsplatz U und Julius-Raab-Platz über Schwarzenbergplatz und Stubentor U. Fahrgäste zwischen Börse und Schwedenplatz mit dem Ziel Prater Hauptallee müssen am Julius-Raab-Platz in einen anderen Zug der Linie 1 umsteigen. Linie 2: Umleitung in beiden Richtungen zwischen Ring, Volkstheater U und Schwedenplatz U über Schottentor - Schottenring. Haltestellen: Schwedenplatz U In Richtung Friedrich-Engels-Platz: Einstieg am gegenüberliegenden Gleis. Schwedenplatz U in Richtung Dornbach: Kein Halt möglich. Gredlerstraße: Kein Halt möglich. Ring, Volkstheater U in Richtung Friedrich-Engels-Platz: Einstieg am Innenring (Haltestelle Richtung Dornbach). Ring, Volkstheater U in Richtung Dornbach: Einstiegstelle direkt vor dem Parlament. Linie D: Umleitung in beiden Richtungen zwischen Schwarzenbergplatz und Börse über Stubentor U und Schwedenplatz U. Linie 71: Betrieb nur zwischen Kaiserebersdorf und Schwarzenbergplatz. Voraussichtliche Dauer: ca 22:00 Uhr. Grund: Demonstration im Bereich Ringstraße.",2026-03-20 17:00:36,2026-03-20 18:00:25,5,59.81666666666667
Other,Linie 22A: Unregelmäßige Intervalle in beiden Richtungen. Grund: Verkehrsüberlastung.,2026-03-20 13:15:16,2026-03-20 14:00:30,4,45.233333333333334
Other,"Linie 25: Betrieb nur zwischen Aspern, Oberdorfstraße und Kagran U. Linie 26: Kein Betrieb zwischen Josef-Baumann-Gasse und Floridsdorf S U. Weiterfahrt ab Josef-Baumann-Gasse bis Kagran U. Linie 27: Kein Betrieb zwischen Josef-Baumann-Gasse und Floridsdorf. Die Züge fahren nur zwischen Aspern Nord und Kagran, bzw. Strebersdorf und Floridsdorf. Weichen Sie ersatzweise auf die Linien U1, U6, 27A, 29A, 29B und die S-Bahn aus. Voraussichtliche Dauer: 17:00 Uhr. Grund: Weichenschaden im Bereich Donaufelder Straße # Tokiostraße .",2026-03-19 15:15:11,2026-03-19 16:00:28,4,45.28333333333333
Other,"Linie 25: Fahrtbehinderung in Richtung Aspern, Oberdorfstraße. Linie 26: Fahrtbehinderung in Richtung Hausfeldstraße U. Linie 27: Fahrtbehinderung in Richtung Aspern Nord S U. Voraussichtliche Dauer: 13:40 Uhr. Grund: Verkehrsunfall im Bereich Donaufelder Straße # Angyalföldstraße .",2026-03-19 12:30:19,2026-03-19 12:30:19,1,0.0
Other,Linie 25: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-19 09:38:22,2026-03-19 17:30:17,14,471.9166666666667
Other,Linie 26: Fahrtbehinderung in Richtung Hausfeldstraße U. Voraussichtliche Dauer: 20:30 Uhr. Grund: Schadhaftes Fahrzeug im Haltestellenbereich Zanggasse.,2026-03-20 19:00:26,2026-03-20 19:00:26,1,0.0
Other,Linie 26: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-19 09:38:22,2026-03-19 19:15:15,22,576.8833333333333
Other,Linie 26A: Unregelmäßige Intervalle in beiden Richtungen. Grund: Schadhaftes Fahrzeug.,2026-03-20 20:00:24,2026-03-20 21:30:16,7,89.86666666666666
Other,Linie 27: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-19 09:38:22,2026-03-19 19:15:15,29,576.8833333333333
